Pincode,City,State,Error
"110098","NEW DELHI","DELHI",""
"110050","NEW DELHI","DELHI",""
"110100","NEW DELHI","DELHI",""
"122021","","","no address in response"
"122022","GURUGRAM","HARYANA",""
"141017","LUDHIANA","PUNJAB",""
"142028","FIROZPUR","PUNJAB",""
"144004","JALANDHAR","PUNJAB",""
"144013","JALANDHAR","PUNJAB",""
"144015","JALANDHAR","PUNJAB",""
"144011","JALANDHAR","PUNJAB",""
"144014","JALANDHAR","PUNJAB",""
"144012","JALANDHAR","PUNJAB",""
"160005","CHANDIGARH","CHANDIGARH",""
"160118","","","no address in response"
"160016","CHANDIGARH","CHANDIGARH",""
"174037","HAMIRPUR","HIMACHAL PRADESH",""
"160069","MOHALI","PUNJAB",""
"160040","MOHALI","PUNJAB",""
"173028","PAONTA SAHIB","HIMACHAL PRADESH",""
"176213","DHARMSALA","HIMACHAL PRADESH",""
"143003","AMRITSAR","PUNJAB",""
"180021","","","no address in response"
"200301","","","no address in response"
"176219","DHARMSALA","HIMACHAL PRADESH",""
"202412","","","no address in response"
"205135","","","no address in response"
"211009","PRAYAGRAJ","UTTAR PRADESH",""
"201308","GREATER NOIDA","UTTAR PRADESH",""
"248035","","","no address in response"
"225002","DHAKAULI","UTTAR PRADESH",""
"301002","ALWAR","RAJASTHAN",""
"263301","NAINITAL","UTTARAKHAND",""
"227105","LUCKNOW","UTTAR PRADESH",""
"249129","","","no address in response"
"248141","DEHRADUN","UTTARAKHAND",""
"263129","NAINITAL","UTTARAKHAND",""
"302024","JAIPUR","RAJASTHAN",""
"302032","JAIPUR","RAJASTHAN",""
"302040","JAIPUR","RAJASTHAN",""
"302036","JAIPUR","RAJASTHAN",""
"302023","JAIPUR","RAJASTHAN",""
"302025","JAIPUR","RAJASTHAN",""
"302043","JAIPUR","RAJASTHAN",""
"302051","","","no address in response"
"302052","","","no address in response"
"303802","CHOMU","RAJASTHAN",""
"305027","","","no address in response"
"305008","AJMER","RAJASTHAN",""
"305028","","","no address in response"
"305029","","","no address in response"
"305030","","","no address in response"
"311013","BHILWARA","RAJASTHAN",""
"307021","PINDWARA","RAJASTHAN",""
"312618","PRATAPGARH","RAJASTHAN",""
"302007","JAIPUR","RAJASTHAN",""
"302011","JAIPUR","RAJASTHAN",""
"313025","UDAIPUR","RAJASTHAN",""
"313338","RAJSAMAND","RAJASTHAN",""
"321603","NADBAI","RAJASTHAN",""
"323306","KOTA","RAJASTHAN",""
"324021","","","no address in response"
"326024","JHALAWAR","RAJASTHAN",""
"342004","JODHPUR","RAJASTHAN",""
"331030","SIKAR","RAJASTHAN",""
"342010","JODHPUR","RAJASTHAN",""
"342034","","","no address in response"
"345002","JAISALMER","RAJASTHAN",""
"360560","AMARDAD","GUJARAT",""
"361141","SIKKA","GUJARAT",""
"362004","JUNAGADH","GUJARAT",""
"363002","SURENDRANAGAR","GUJARAT",""
"362266","VERAVAL","GUJARAT",""
"363035","SURENDRANAGAR","GUJARAT",""
"362235","MANGROL","GUJARAT",""
"362725","KODINAR","GUJARAT",""
"362229","KESHOD","GUJARAT",""
"370240","GANDHIDHAM","GUJARAT",""
"363425","AHMEDABAD","GUJARAT",""
"380038","","","no address in response"
"380081","","","no address in response"
"382024","GANDHINAGAR","GUJARAT",""
"382023","GANDHINAGAR","GUJARAT",""
"382027","GANDHINAGAR","GUJARAT",""
"382440","AHMEDABAD","GUJARAT",""
"382710","MAHESANA","GUJARAT",""
"382715","KADI","GUJARAT",""
"384215","PATAN","GUJARAT",""
"384210","BECHAR ALIAS BECHARAJI","GUJARAT",""
"382732","AMBALIYASAN","GUJARAT",""
"384212","MODHERA","GUJARAT",""
"382850","VIJAPUR","GUJARAT",""
"384205","MAHESANA","GUJARAT",""
"385007","","","no address in response"
"388121","ANAND","GUJARAT",""
"390015","VADODARA","GUJARAT",""
"391346","VADODARA","GUJARAT",""
"391121","VADODARA","GUJARAT",""
"390005","VADODARA","GUJARAT",""
"396424","NAVSARI","GUJARAT",""
"393155","BHARUCH","GUJARAT",""
"400047","MUMBAI","MAHARASHTRA",""
"401210","VASAI VIRAR","MAHARASHTRA",""
"401206","THANE","MAHARASHTRA",""
"413225","SOLAPUR","MAHARASHTRA",""
"411053","PUNE","MAHARASHTRA",""
"402118","PEN","MAHARASHTRA",""
"401104","THANE","MAHARASHTRA",""
"416130","LAT","MAHARASHTRA",""
"413580","OSMANABAD","MAHARASHTRA",""
"416117","ICHALKARANJI","MAHARASHTRA",""
"416127","KOLHAPUR","MAHARASHTRA",""
"415529","SATARA","MAHARASHTRA",""
"416222","KOLHAPUR","MAHARASHTRA",""
"416134","JAYSINGPUR","MAHARASHTRA",""
"382730","GANDHINAGAR","GUJARAT",""
"421003","KALYAN","MAHARASHTRA",""
"421001","KALYAN","MAHARASHTRA",""
"416536","GADHINGLAJ","MAHARASHTRA",""
"416541","MAJGAON","MAHARASHTRA",""
"416425","SANGLI MIRAJ KUPWAD","MAHARASHTRA",""
"416421","MIRAJ","MAHARASHTRA",""
"421504","BADLAPUR","MAHARASHTRA",""
"421604","THANE","MAHARASHTRA",""
"431119","","","no address in response"
"424116","CHALISGAON","MAHARASHTRA",""
"425135","JALGAON","MAHARASHTRA",""
"425434","JALGAON","MAHARASHTRA",""
"425511","JALGAON","MAHARASHTRA",""
"422614","AHMADNAGAR","MAHARASHTRA",""
"431210","AURANGABAD","MAHARASHTRA",""
"441009","","","no address in response"
"441003","","","no address in response"
"441002","NAGPUR","MAHARASHTRA",""
"440028","NAGPUR","MAHARASHTRA",""
"441114","MIHAN","MAHARASHTRA",""
"440009","NAGPUR","MAHARASHTRA",""
"440004","NAGPUR","MAHARASHTRA",""
"441117","BHANDARA","MAHARASHTRA",""
"441613","","","no address in response"
"442002","","","no address in response"
"441504","NAGPUR","MAHARASHTRA",""
"442006","WARDHA","MAHARASHTRA",""
"443105","BULDANA","MAHARASHTRA",""
"442005","WARDHA","MAHARASHTRA",""
"442706","SASTI","MAHARASHTRA",""
"450340","","","no address in response"
"445003","","","no address in response"
"443406","BULDANA","MAHARASHTRA",""
"451667","BARWANI","MADHYA PRADESH",""
"444911","AMRAVATI","MAHARASHTRA",""
"444728","DARYAPUR BANOSA","MAHARASHTRA",""
"444609","MORSHI","MAHARASHTRA",""
"452021","","","no address in response"
"452023","","","no address in response"
"452022","","","no address in response"
"452008","INDORE","MADHYA PRADESH",""
"452024","","","no address in response"
"452025","","","no address in response"
"452026","","","no address in response"
"452029","","","no address in response"
"452027","","","no address in response"
"452031","","","no address in response"
"452032","","","no address in response"
"452033","","","no address in response"
"452030","","","no address in response"
"452028","","","no address in response"
"452034","","","no address in response"
"452038","","","no address in response"
"452039","","","no address in response"
"452035","","","no address in response"
"452037","","","no address in response"
"441406","KANDRI MINES","MAHARASHTRA",""
"452036","","","no address in response"
"452041","","","no address in response"
"452044","","","no address in response"
"452043","","","no address in response"
"452042","","","no address in response"
"452046","","","no address in response"
"453332","MHOW","MADHYA PRADESH",""
"454129","DHAR","MADHYA PRADESH",""
"452045","","","no address in response"
"454749","DHAR","MADHYA PRADESH",""
"456016","","","no address in response"
"456012","","","no address in response"
"456011","","","no address in response"
"456020","","","no address in response"
"456018","","","no address in response"
"456013","","","no address in response"
"456015","","","no address in response"
"456019","","","no address in response"
"462048","","","no address in response"
"462018","BHOPAL","MADHYA PRADESH",""
"462013","BHOPAL","MADHYA PRADESH",""
"462012","BHOPAL","MADHYA PRADESH",""
"457893","ALIRAJPUR","MADHYA PRADESH",""
"462032","BHOPAL","MADHYA PRADESH",""
"462021","BHOPAL","MADHYA PRADESH",""
"462050","","","no address in response"
"462052","","","no address in response"
"462053","","","no address in response"
"462051","BHOPAL","MADHYA PRADESH",""
"462054","","","no address in response"
"462055","","","no address in response"
"462060","","","no address in response"
"462062","","","no address in response"
"464002","","","no address in response"
"462063","","","no address in response"
"462064","","","no address in response"
"465331","SHUJALPUR","MADHYA PRADESH",""
"480002","CHHINDWARA","MADHYA PRADESH",""
"462061","","","no address in response"
"462007","BHOPAL","MADHYA PRADESH",""
"480664","","","no address in response"
"481002","","","no address in response"
"486888","VINDHYA NAGAR NTPC TOWNSHIP","MADHYA PRADESH",""
"490027","BHILAI","CHHATTISGARH",""
"486004","REWA","MADHYA PRADESH",""
"492006","RAIPUR","CHHATTISGARH",""
"492007","RAIPUR","CHHATTISGARH",""
"494005","JAGDALPUR","CHHATTISGARH",""
"495681","","","no address in response"
"495011","","","no address in response"
"500025","SECUNDERABAD","TELANGANA",""
"495549","AKALTARA","CHHATTISGARH",""
"495223","SIRGITTI","CHHATTISGARH",""
"495685","SAKTI","CHHATTISGARH",""
"495678","KORBA","CHHATTISGARH",""
"500063","HYDERABAD","TELANGANA",""
"530035","VISAKHAPATNAM","ANDHRA PRADESH",""
"500105","SECUNDERABAD","TELANGANA",""
"500107","SECUNDERABAD","TELANGANA",""
"523156","CHIRALA","ANDHRA PRADESH",""
"518008","","","no address in response"
"501511","HYDERABAD","TELANGANA",""
"500093","HYDERABAD","TELANGANA",""
"560052","BENGALURU","KARNATAKA",""
"560039","BENGALURU","KARNATAKA",""
"560019","BENGALURU","KARNATAKA",""
"563102","KOLAR","KARNATAKA",""
"560014","BENGALURU","KARNATAKA",""
"560069","BENGALURU","KARNATAKA",""
"560046","BENGALURU","KARNATAKA",""
"500095","HYDERABAD","TELANGANA",""
"581305","KARWAR","KARNATAKA",""
"570024","MYSURU","KARNATAKA",""
"582104","GADAG","KARNATAKA",""
"590002","BELAGAVI","KARNATAKA",""
"600027","CHENNAI","TAMIL NADU",""
"586102","BASAVANA BAGEVADI","KARNATAKA",""
"586105","VIJAYAPURA","KARNATAKA",""
"600029","CHENNAI","TAMIL NADU",""
"600098","CHENNAI","TAMIL NADU",""
"600079","CHENNAI","TAMIL NADU",""
"600112","CHENNAI","TAMIL NADU",""
"625010","MADURAI","TAMIL NADU",""
"622408","PONNAMARAVATHI","TAMIL NADU",""
"630004","KARAIKKUDI","TAMIL NADU",""
"600065","CHENNAI","TAMIL NADU",""
"630006","KARAIKKUDI","TAMIL NADU",""
"688012","ALAPPUZHA","KERALA",""
"643228","UDHAGAMANDALAM","TAMIL NADU",""
"712247","BANSBERIA","WEST BENGAL",""
"700098","BIDHAN NAGAR","WEST BENGAL",""
"712411","CHANDANNAGAR","WEST BENGAL",""
"712707","SERAMPORE","WEST BENGAL",""
"712708","KRISHNAPUR HUGLI DISTRICT","WEST BENGAL",""
"713160","BURDWAN","WEST BENGAL",""
"713172","BURDWAN","WEST BENGAL",""
"713218","DURGAPUR","WEST BENGAL",""
"713383","ASANSOL","WEST BENGAL",""
"713434","KALNA","WEST BENGAL",""
"713219","DURGAPUR","WEST BENGAL",""
"713501","BURDWAN","WEST BENGAL",""
"713516","KATWA","WEST BENGAL",""
"713517","KATWA","WEST BENGAL",""
"721668","SAHID MATANGINI","WEST BENGAL",""
"722107","BANKURA","WEST BENGAL",""
"722170","BANKURA","WEST BENGAL",""
"722172","BANKURA","WEST BENGAL",""
"722174","BANKURA","WEST BENGAL",""
"722178","BANKURA","WEST BENGAL",""
"722180","BANKURA","WEST BENGAL",""
"731324","","","no address in response"
"732143","MALDA","WEST BENGAL",""
"734123","DARJEELING","WEST BENGAL",""
"734121","DARJEELING","WEST BENGAL",""
"734124","DARJEELING","WEST BENGAL",""
"734219","DARJEELING","WEST BENGAL",""
"734321","DARJEELING","WEST BENGAL",""
"734431","DARJEELING","WEST BENGAL",""
"737117","GANGTOK","SIKKIM",""
"743384","BOWALI","WEST BENGAL",""
"743389","BARUIPUR","WEST BENGAL",""
"751027","BHUBANESWAR","ODISHA",""
"743398","BHASA","WEST BENGAL",""
"753005","CUTTACK","ODISHA",""
"759109","","","no address in response"
"756161","","","no address in response"
"753051","CUTTACK","ODISHA",""
"754143","PARADIP","ODISHA",""
"756018","BALESHWAR","ODISHA",""
"754229","KENDRAPARA","ODISHA",""
"756053","BALESHWAR","ODISHA",""
"759139","","","no address in response"
"759138","","","no address in response"
"759140","","","no address in response"
"768101","","","no address in response"
"768023","","","no address in response"
"769041","ROURKELA","ODISHA",""
"759135","GOTAMARA","ODISHA",""
"770071","","","no address in response"
"785617","CHARINGIA GAON","ASSAM",""
"783121","GOALPARA","ASSAM",""
"783374","KOKRAJHAR PART","ASSAM",""
"785005","JORHAT","ASSAM",""
"785660","SIBSAGAR","ASSAM",""
"784152","CHARIDUAR","ASSAM",""
"722181","BANKURA","WEST BENGAL",""
"797119","","","no address in response"
"788012","","","no address in response"
"788008","SILCHAR","ASSAM",""
"786005","DIBRUGARH","ASSAM",""
"787029","KADAM","ASSAM",""
"800029","PATNA","BIHAR",""
"800018","PATNA","BIHAR",""
"801501","PATNA","BIHAR",""
"801118","BIHTA PATNA DISTRICT","BIHAR",""
"803206","PATNA","BIHAR",""
"804433","JEHANABAD","BIHAR",""
"813113","BHAGALPUR","BIHAR",""
"801502","PATNA","BIHAR",""
"802237","TARARI","BIHAR",""
"824213","","","no address in response"
"813117","BARAHAT","BIHAR",""
"813233","BHAGALPUR","BIHAR",""
"814122","DEOGHAR","JHARKHAND",""
"825335","HAZARIBAGH","JHARKHAND",""
"825137","JHUMRI TILAIYA","JHARKHAND",""
"825337","","","no address in response"
"828308","MAHUDA","JHARKHAND",""
"828311","AMLABAD","JHARKHAND",""
"829120","PATRATU","JHARKHAND",""
"827011","BOKARO STEEL CITY","JHARKHAND",""
"829124","HAZARIBAGH","JHARKHAND",""
"801101","PATNA","BIHAR",""
"829146","","","no address in response"
"831008","JAMSHEDPUR","JHARKHAND",""
"831010","JAMSHEDPUR","JHARKHAND",""
"831037","","","no address in response"
"831032","","","no address in response"
"831018","JAMSHEDPUR","JHARKHAND",""
"831033","","","no address in response"
"834026","","","no address in response"
"841105","VAISHALI","BIHAR",""
"832110","JAMSHEDPUR","JHARKHAND",""
"841247","VAISHALI","BIHAR",""
"835238","IRBA","JHARKHAND",""
"835240","KANKE","JHARKHAND",""
"835236","RANCHI","JHARKHAND",""
"842101","","","no address in response"
"841433","PANAPUR","BIHAR",""
"843146","MUZAFFARPUR","BIHAR",""
"848220","SAMASTIPUR","BIHAR",""
"843147","MUZAFFARPUR","BIHAR",""
"851122","BARAUNI IOC TOWNSHIP","BIHAR",""
"852210","MADHEPURA","BIHAR",""
"813115","BANKA","BIHAR",""
"853207","BHAGALPUR","BIHAR",""
"600080","CHENNAI","TAMIL NADU",""
"500409","HYDERABAD","TELANGANA",""